core.externalId,core.name,core.description,core.businessDescription,core.businessName,core.reference,custom.openapi.v6.Default,custom.openapi.v6.Example,custom.openapi.v6.Format,custom.openapi.v6.Type
swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses)~200~firstName,firstName,,,,,,John,,string
swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses)~200~lastName,lastName,,,,,,James,,string
swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses)~200~email,email,,,,,,john@email.com,,string
swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses)~200~password,password,,,,,,12345,,string
swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses)~200~phone,phone,,,,,,12345,,string
swagger~petstore~-~openapi~3.0~user~~user~createWithList~post~(responses)~200~userStatus,userStatus,,,,,,1,int32,integer
swagger~petstore~-~openapi~3.0~user~~user~{username}~get~(responses)~200~id,id,,,,,,10,int64,integer
swagger~petstore~-~openapi~3.0~user~~user~{username}~get~(responses)~200~username,username,,,,,,theUser,,string
swagger~petstore~-~openapi~3.0~user~~user~{username}~get~(responses)~200~firstName,firstName,,,,,,John,,string
swagger~petstore~-~openapi~3.0~user~~user~{username}~get~(responses)~200~lastName,lastName,,,,,,James,,string
swagger~petstore~-~openapi~3.0~user~~user~{username}~get~(responses)~200~email,email,,,,,,john@email.com,,string
swagger~petstore~-~openapi~3.0~user~~user~{username}~get~(responses)~200~password,password,,,,,,12345,,string
swagger~petstore~-~openapi~3.0~user~~user~{username}~get~(responses)~200~phone,phone,,,,,,12345,,string
swagger~petstore~-~openapi~3.0~user~~user~{username}~get~(responses)~200~userStatus,userStatus,,,,,,1,int32,integer
